x	y
0.189	23.300
0.353	36.865
0.516	46.600
0.680	50.400
0.825	55.300
1.007	57.025
1.170	60.694
1.316	62.499
1.479	67.900
1.661	71.000
1.806	73.200
1.988	79.000
2.134	80.600
2.297	85.000
2.461	87.000
2.624	87.400
2.788	84.200
2.951	87.900
3.133	89.200
3.297	92.400
3.442	100.400
3.606	97.300
3.769	98.000
3.933	100.300
4.096	98.000
4.260	89.400
4.423	85.900
4.587	85.000
4.751	87.300
4.914	85.300
5.078	74.800
5.241	74.800
5.405	67.400
5.568	56.200
5.732	55.900
5.896	63.300
6.059	74.700
6.223	76.800
6.386	72.300
6.532	64.200
6.732	59.700
6.877	50.300
