x	y
0.022	6.559
0.067	9.476
0.111	13.930
0.156	20.640
0.200	21.180
0.245	20.270
0.289	21.290
0.333	21.730
0.378	22.040
0.422	28.280
0.467	30.730
0.511	33.630
0.556	38.700
0.600	37.350
0.644	45.520
0.689	46.820
0.733	47.730
0.778	50.420
0.822	47.830
0.867	53.100
0.911	57.290
0.956	57.240
1.000	54.620
1.044	54.780
1.089	50.170
1.133	42.940
1.174	59.240
1.211	74.020
1.673	72.810
2.008	75.350
2.343	76.610
2.677	77.570
3.012	78.520
3.346	78.200
3.681	78.830
4.016	79.150
4.350	79.150
4.685	79.150
5.020	78.830
5.354	78.520
5.689	80.100
6.024	80.100
6.358	80.100
6.693	80.100
7.028	79.780
7.362	79.780
7.697	79.470
8.032	79.470
8.366	78.830
8.701	77.880
9.036	77.250
9.370	77.570
9.705	76.610
10.040	77.500
