x	y
0.022	11.559
0.067	15.220
0.111	20.357
0.156	25.640
0.200	26.180
0.245	25.270
0.289	26.290
0.333	26.730
0.378	27.040
0.422	33.280
0.467	35.730
0.511	38.630
0.556	43.700
0.600	42.350
0.644	50.520
0.689	51.820
0.733	52.730
0.778	55.420
0.822	52.830
0.867	58.100
0.911	62.290
0.956	62.240
1.000	62.128
1.044	61.681
1.089	55.170
1.133	50.819
1.174	68.658
1.211	79.020
1.339	71.852
1.673	76.502
2.008	79.042
2.343	80.302
2.677	81.262
3.012	82.212
3.346	81.892
3.681	82.522
4.016	82.842
4.350	82.842
4.685	82.842
5.020	82.522
5.354	82.212
5.689	83.792
6.024	83.792
6.358	83.792
6.693	83.792
7.028	83.472
7.362	83.472
7.697	83.162
8.366	82.522
8.701	81.572
9.036	80.942
9.370	81.262
9.705	80.302
10.040	81.260
